Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Merrily Altamirano,18/03/2013,18/03/2022,March,Friday,31
Bartholemy Rattrie,24/02/2013,24/02/2022,February,Thursday,12
Leroi Heikkinen,21/04/2012,21/04/2022,April,Thursday,11
Kamila Blakes,29/06/2014,29/06/2022,June,Wednesday,15
Vincent Seedull,12/01/2012,12/01/2022,January,Wednesday,14
Remy La Torre,23/04/2013,23/04/2022,April,Friday,55
Brig Lawty,28/03/2015,28/03/2022,March,Monday,8
Kassie Darben,10/02/2014,10/02/2022,February,Thursday,12
Barnie Drees,25/04/2013,25/04/2022,April,Monday,10
Leslie Pezey,02/08/2013,02/08/2022,August,Tuesday,15
Ted Gobel,29/05/2014,29/05/2022,May,Friday,31
Noach Pagen,11/11/2013,11/11/2022,November,Friday,39
Elita Taggert,08/11/2012,08/11/2022,November,Tuesday,12
Tony Roches,03/07/2013,03/07/2022,July,Friday,49
Phelia Wines,07/12/2011,07/12/2022,December,Wednesday,9
Kris Boarer,04/02/2013,04/02/2022,February,Friday,31
Courtnay Fearey,30/01/2012,30/01/2022,January,Friday,33
Bartie Pedrazzi,08/01/2014,08/01/2022,January,Friday,33
Pincas Sogg,19/08/2015,19/08/2022,August,Friday,24
Delainey Rand,10/03/2012,10/03/2022,March,Thursday,19
Alvy Fleis,28/10/2012,28/10/2022,October,Friday,32
Chrotoem Thominga,20/07/2014,20/07/2022,July,Wednesday,19
Ebeneser Gobel,10/05/2012,10/05/2022,May,Tuesday,15
Orelee Perillio,19/02/2014,19/02/2022,February,Friday,31
Carmelita Wiffen,11/09/2011,11/09/2022,September,Friday,36
Dion Grimestone,16/09/2011,16/09/2022,September,Friday,36
Terry Sloey,29/03/2013,29/03/2022,March,Tuesday,13
Reube Pallaske,04/08/2015,04/08/2022,August,Thursday,10
Ossie Woodard,12/01/2012,12/01/2022,January,Wednesday,14
Olly Navarijo,08/09/2012,08/09/2022,September,Thursday,14
Maybelle Shackesby,30/04/2015,30/04/2022,April,Friday,55
Seumas Plum,28/04/2013,28/04/2022,April,Thursday,11
Burl Glassborow,31/07/2015,31/07/2022,July,Friday,49
Farra Laidler,29/03/2015,29/03/2022,March,Tuesday,13
Olwen Callicott,01/02/2013,01/02/2022,February,Tuesday,13
Zoe Djorvic,04/04/2013,04/04/2022,April,Monday,10
Tonye Faudrie,01/04/2012,01/04/2022,April,Friday,55
Jody Alvin,15/05/2013,15/05/2022,May,Friday,31
Brandie Feuell,10/05/2015,10/05/2022,May,Tuesday,15
Mic Stonard,12/07/2013,12/07/2022,July,Tuesday,12
Jilli Kevane,11/11/2011,11/11/2022,November,Friday,39
Jessie Fforde,05/06/2014,05/06/2022,June,Friday,30
Eleonora Manntschke,12/12/2014,12/12/2022,December,Monday,20
Westley Bergin,30/12/2012,30/12/2022,December,Friday,45
Thelma Carabine,14/06/2014,14/06/2022,June,Tuesday,11
Nannie Ferebee,11/03/2015,11/03/2022,March,Friday,31
Sib Klink,07/12/2014,07/12/2022,December,Wednesday,9
Keely Skellion,24/07/2015,24/07/2022,July,Friday,49
Erinna Rosthorn,14/06/2013,14/06/2022,June,Tuesday,11
Elvin Lewinton,10/09/2013,10/09/2022,September,Friday,36
Rosana Zoellner,19/05/2014,19/05/2022,May,Thursday,12
Elaine Blackborough,31/07/2013,31/07/2022,July,Friday,49
Roddie Ovett,10/07/2013,10/07/2022,July,Friday,49
Ninnetta Galia,01/04/2013,01/04/2022,April,Friday,55
Casandra Norewood,24/11/2014,24/11/2022,November,Thursday,13
Pen Haney`,25/12/2011,25/12/2022,December,Friday,45
Brigg Mendel,20/02/2015,20/02/2022,February,Friday,31
Susana Cookney,17/03/2012,17/03/2022,March,Thursday,19
Codi Widger,04/07/2014,04/07/2022,July,Monday,11
Sonny Finlason,26/11/2014,26/11/2022,November,Friday,39
Felike Whardley,18/07/2014,18/07/2022,July,Monday,11
Aileen Overill,26/06/2012,26/06/2022,June,Friday,30
Rayna Hobble,02/01/2014,02/01/2022,January,Friday,33
Dela Corradeschi,04/10/2014,04/10/2022,October,Tuesday,9
Temple Arnald,15/11/2013,15/11/2022,November,Tuesday,12
Corey Garnsworthy,12/01/2012,12/01/2022,January,Wednesday,14
Lyssa Skotcher,03/03/2013,03/03/2022,March,Thursday,19
Farra Congreave,20/06/2014,20/06/2022,June,Monday,9
Chanda Hartle,23/08/2014,23/08/2022,August,Tuesday,15
Emmott Pressman,02/11/2012,02/11/2022,November,Wednesday,17
Alvera Roussel,22/05/2013,22/05/2022,May,Friday,31
Korney Pennington,24/08/2013,24/08/2022,August,Wednesday,10
Travus Rousby,20/09/2011,20/09/2022,September,Tuesday,12
Wakefield Pleaden,21/02/2014,21/02/2022,February,Monday,12
Amy Pirrie,06/11/2013,06/11/2022,November,Friday,39
Barn Poyntz,22/06/2015,22/06/2022,June,Wednesday,15
Heindrick Okie,06/05/2014,06/05/2022,May,Friday,31
Gan Thulborn,18/12/2011,18/12/2022,December,Friday,45
Delphinia Wallach,12/06/2015,12/06/2022,June,Friday,30
Harlin Hallad,28/11/2012,28/11/2022,November,Monday,11
Ida Side,22/04/2015,22/04/2022,April,Friday,55
Lia Cavilla,06/04/2015,06/04/2022,April,Wednesday,12
Tammie Bevans,17/12/2012,17/12/2022,December,Friday,45
Towney Genny,26/10/2011,26/10/2022,October,Wednesday,13
Darsie Midson,10/07/2015,10/07/2022,July,Friday,49
Bobbee Timeby,12/10/2014,12/10/2022,October,Wednesday,13
Giacinta Pardal,28/05/2012,28/05/2022,May,Friday,31
Justinian McCrossan,25/01/2015,25/01/2022,January,Tuesday,12
Maxine Peizer,06/10/2013,06/10/2022,October,Thursday,14
Claudell Oloshin,25/12/2011,25/12/2022,December,Friday,45
Risa Marc,31/07/2013,31/07/2022,July,Friday,49
Leontine Kowalski,31/12/2011,31/12/2022,December,Friday,45
Yasmin Lindsell,28/09/2012,28/09/2022,September,Wednesday,7
Carlyle Bestwick,08/08/2013,08/08/2022,August,Monday,12
Arnold Emps,22/06/2013,22/06/2022,June,Wednesday,15
Cassandry Trevaskus,05/01/2015,05/01/2022,January,Wednesday,14
Julianna Whitlock,25/02/2014,25/02/2022,February,Friday,31
Meryl Grzelewski,04/06/2012,04/06/2022,June,Friday,30
Louella Ketch,17/08/2015,17/08/2022,August,Wednesday,10
Meredith Dreng,12/09/2011,12/09/2022,September,Monday,7
Brana Bridgstock,04/01/2015,04/01/2022,January,Tuesday,12
Efrem Roswarne,21/10/2014,21/10/2022,October,Friday,32
Catrina Hannabuss,12/03/2012,12/03/2022,March,Friday,31
Ainslie Swansbury,03/10/2012,03/10/2022,October,Monday,14
Jerry Archard,09/03/2013,09/03/2022,March,Wednesday,6
Cly Chevis,19/12/2012,19/12/2022,December,Monday,20
Tarrance Alves,24/12/2013,24/12/2022,December,Friday,45
Geneva Bakesef,05/12/2014,05/12/2022,December,Monday,20
Rosaline Youel,19/03/2013,19/03/2022,March,Friday,31
Livvyy Cessford,23/06/2014,23/06/2022,June,Thursday,12
Deirdre Maharey,17/07/2015,17/07/2022,July,Friday,49
Dyan Heckney,02/05/2014,02/05/2022,May,Monday,7
Alika Bunclark,09/11/2014,09/11/2022,November,Wednesday,17
Daryle Flewitt,11/09/2012,11/09/2022,September,Friday,36
Clovis Okeshott,01/02/2015,01/02/2022,February,Tuesday,13
Gratia Shory,02/04/2015,02/04/2022,April,Friday,55
Alane Beidebeke,22/11/2012,22/11/2022,November,Tuesday,12
Bridie Hembery,26/05/2013,26/05/2022,May,Thursday,12
Hannis Loughran,02/02/2013,02/02/2022,February,Wednesday,8
Gwen Glowinski,04/03/2012,04/03/2022,March,Friday,31
Henrie Wrightson,01/12/2014,01/12/2022,December,Thursday,20
Ludwig Raine,18/02/2014,18/02/2022,February,Friday,31
Hamel Pie,24/12/2013,24/12/2022,December,Friday,45
Tamma Sergison,19/06/2012,19/06/2022,June,Friday,30
Ninetta Worling,15/02/2015,15/02/2022,February,Tuesday,13
Stanford Tinton,09/04/2013,09/04/2022,April,Friday,55
Ertha MacCook,14/12/2013,14/12/2022,December,Wednesday,9
Lawton Randles,12/12/2011,12/12/2022,December,Monday,20
Engracia Pashbee,23/09/2013,23/09/2022,September,Friday,36
