Opportunity Name,StageName,Amount,Created By Name,Owner Name,Account Name,Account Type,Account Owner Name,Account Created By Name,Opportunity ID,AccountId,OwnerId,CreatedById
Opportunity for George802,Closed Won,214100,Jenny Martin,Catherine Brown,Bailey19 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKisAAG,0018d00000GozuOAAR,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Carson1177,Closed Lost,93733,Jenny Martin,Harold Campbell,Vega20 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKiyAAG,0018d00000GozuPAAR,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Thompson83,Closed Lost,51920,Jenny Martin,Harold Campbell,Goodman21 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKefAAG,0018d00000GozuQAAR,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Valdez617,Closed Won,273090,Jenny Martin,Dennis Howard,Austin22 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKpIAAW,0018d00000GozuRAAR,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Bates1547,Closed Won,3426450,Jenny Martin,Evelyn Williamson,Byrd23 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKj7AAG,0018d00000GozuSAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Johnston1675,Closed Won,804275,Jenny Martin,Dennis Howard,Lopez215 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKnCAAW,0018d00000GozuUAAR,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Dean1363,Closed Won,156655,Jenny Martin,Nicolas Weaver,Schneider843 Inc,Partner,Eric Gutierrez,Jenny Martin,0068d000009XKowAAG,0018d00000Gp00BAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Mack935,Closed Won,76800,Jenny Martin,Evelyn Williamson,Reeves844 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKnSAAW,0018d00000Gp00CAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Tucker470,Negotiation/Review,2254450,Jenny Martin,Nicolas Weaver,Lloyd845 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKkPAAW,0018d00000Gp00DAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Hoffman774,Closed Won,152400,Jenny Martin,Irene Kelley,Goodwin856 Inc,Partner,Nicolas Weaver,Jenny Martin,0068d000009XKhzAAG,0018d00000Gp00OAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Burton933,Closed Lost,388760,Jenny Martin,John Williams,Griffin587 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKnRAAW,0018d00000GozsLAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Chandler1451,Closed Lost,163110,Jenny Martin,John Williams,Owens588 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKftAAG,0018d00000GozsMAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Ryan1382,Closed Won,2346320,Jenny Martin,Eric Sanchez,Jackson589 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKphAAG,0018d00000GozsNAAR,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Bryant359,Closed Won,3039400,Jenny Martin,John Williams,Jackson589 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKd7AAG,0018d00000GozsNAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Moody784,Closed Won,82925,Jenny Martin,Evelyn Williamson,Perez590 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKilAAG,0018d00000GozsOAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Obrien1138,Closed Lost,489886,Jenny Martin,Chris Riley,Perez590 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKhUAAW,0018d00000GozsOAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Mills1099,Closed Lost,254500,Jenny Martin,Eric Gutierrez,Klein591 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKgUAAW,0018d00000GozsPAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Sanders1392,Closed Won,196890,Jenny Martin,Evelyn Williamson,Yates593 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKpoAAG,0018d00000GozsRAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for McKenzie1898,Closed Won,201720,Jenny Martin,Bruce Kennedy,Benson594 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKhoAAG,0018d00000GozsSAAR,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for McDaniel1873,Closed Won,3694000,Jenny Martin,Kelly Frazier,Mendez595 Inc,Partner,Catherine Brown,Jenny Martin,0068d000009XKh5AAG,0018d00000GozsTAAR,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Webb567,Closed Lost,65040,Jenny Martin,Nicolas Weaver,Mendez595 Inc,Partner,Catherine Brown,Jenny Martin,0068d000009XKnsAAG,0018d00000GozsTAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Wagner150,Closed Lost,2660660,Jenny Martin,Bruce Kennedy,Bishop597 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKcpAAG,0018d00000GozsVAAR,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Black67,Closed Won,1683760,Jenny Martin,Laura Garza,Black598 Inc,Partner,Evelyn Williamson,Jenny Martin,0068d000009XKeYAAW,0018d00000GozsWAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Mitchell1555,Closed Won,123280,Jenny Martin,Harold Campbell,Hopkins600 Inc,Partner,Evelyn Williamson,Jenny Martin,0068d000009XKjCAAW,0018d00000GozsYAAR,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Becker94,Closed Lost,493255,Jenny Martin,Doroth Gardner,Diaz190 Inc,Customer,John Williams,Jenny Martin,0068d000009XKekAAG,0018d00000GozsbAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Bush1960,Closed Lost,1540000,Jenny Martin,Chris Riley,Lee192 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKkEAAW,0018d00000GozsdAAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Wilkins1372,Closed Won,932900,Jenny Martin,Eric Sanchez,Lee192 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKp0AAG,0018d00000GozsdAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Chandler1281,Perception Analysis,2336600,Jenny Martin,Irene McCoy,Lee192 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKmHAAW,0018d00000GozsdAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Becker221,Closed Won,374505,Jenny Martin,Irene Kelley,Lee192 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKeuAAG,0018d00000GozsdAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Tate1543,Closed Won,460956,Jenny Martin,Eric Sanchez,Ingram217 Inc,Partner,Catherine Brown,Jenny Martin,0068d000009XKj6AAG,0018d00000GozuWAAR,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Johnston1857,Closed Won,163800,Jenny Martin,Irene Kelley,Cummings220 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKguAAG,0018d00000GozuZAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Simon1477,Closed Lost,325680,Jenny Martin,Catherine Brown,Harmon221 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKgmAAG,0018d00000GozuaAAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Dunn1807,Closed Won,225083,Jenny Martin,Eric Gutierrez,Silva224 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKrSAAW,0018d00000GozudAAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Lloyd424,Closed Won,389648,Jenny Martin,Evelyn Williamson,Silva224 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKicAAG,0018d00000GozudAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Wong939,Closed Won,390400,Jenny Martin,Julie Chavez,Silva224 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKnVAAW,0018d00000GozudAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Ramsey1863,Closed Won,1885475,Jenny Martin,Doroth Gardner,Vaughn229 Inc,Partner,Dennis Howard,Jenny Martin,0068d000009XKgyAAG,0018d00000GozuiAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Massey714,Closed Won,559580,Jenny Martin,Laura Garza,Hall230 Inc,Partner,Dennis Howard,Jenny Martin,0068d000009XKgHAAW,0018d00000GozujAAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Knight1172,Closed Won,2113750,Jenny Martin,Dennis Howard,Hall230 Inc,Partner,Dennis Howard,Jenny Martin,0068d000009XKixAAG,0018d00000GozujAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Parks1244,Closed Won,436500,Jenny Martin,Evelyn Williamson,Webb232 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKlZAAW,0018d00000GozulAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Reed1483,Closed Won,1755000,Jenny Martin,Eric Sanchez,Fletcher234 Inc,Partner,Harold Campbell,Jenny Martin,0068d000009XKgpAAG,0018d00000GozunAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Newton532,Negotiation/Review,45265,Jenny Martin,Evelyn Williamson,Fletcher234 Inc,Partner,Harold Campbell,Jenny Martin,0068d000009XKmRAAW,0018d00000GozunAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Marsh1734,Closed Won,309686,Jenny Martin,Eric Sanchez,Perez237 Inc,Partner,Chris Riley,Jenny Martin,0068d000009XKp7AAG,0018d00000GozuqAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Glover1974,Closed Won,48440,Jenny Martin,Julie Chavez,Taylor238 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKkLAAW,0018d00000GozurAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Beck1148,Closed Won,52440,Jenny Martin,Catherine Brown,Alvarez72 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKi5AAG,0018d00000Gp00nAAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Ramirez671,Closed Lost,430330,Jenny Martin,Irene McCoy,Wood74 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKr2AAG,0018d00000Gp00pAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Lambert182,Value Proposition,1750200,Jenny Martin,Kelly Frazier,Brock75 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKe2AAG,0018d00000Gp00qAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for White1920,Closed Lost,1535500,Jenny Martin,Johnny Green,Watts76 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKiZAAW,0018d00000Gp00rAAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Freeman717,Value Proposition,1023320,Jenny Martin,Irene McCoy,Norris77 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKgJAAW,0018d00000Gp00sAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Abbott1184,Closed Won,2016250,Jenny Martin,Irene Kelley,Rodgers79 Inc,Partner,Nicolas Weaver,Jenny Martin,0068d000009XKj1AAG,0018d00000Gp00uAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Dennis524,Closed Won,3390620,Jenny Martin,Eric Gutierrez,Rodgers79 Inc,Partner,Nicolas Weaver,Jenny Martin,0068d000009XKlwAAG,0018d00000Gp00uAAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Powell825,Closed Won,230520,Jenny Martin,Julie Chavez,Stokes80 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKjlAAG,0018d00000Gp00vAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Banks277,Closed Won,376862,Jenny Martin,Irene Kelley,Lane81 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKd1AAG,0018d00000Gp00wAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Patton1278,Closed Won,2477275,Jenny Martin,Julie Chavez,Santos84 Inc,Partner,Kelly Frazier,Jenny Martin,0068d000009XKmFAAW,0018d00000Gp00zAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Griffin1933,Closed Won,150043,Jenny Martin,Nicolas Weaver,Patton86 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKjIAAW,0018d00000Gp011AAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Barton675,Closed Won,105210,Jenny Martin,Johnny Green,Webster87 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKr4AAG,0018d00000Gp012AAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Chavez1002,Qualification,355680,Jenny Martin,Laura Garza,Hunter88 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKpTAAW,0018d00000Gp013AAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Christensen462,Closed Won,133800,Jenny Martin,Dennis Howard,Steele90 Inc,Customer,John Williams,Jenny Martin,0068d000009XKjZAAW,0018d00000Gp015AAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Baker1644,Closed Won,2440900,Jenny Martin,John Williams,Steele90 Inc,Customer,John Williams,Jenny Martin,0068d000009XKmNAAW,0018d00000Gp015AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Baldwin443,Closed Lost,852720,Jenny Martin,Kelly Frazier,Leonard91 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKjPAAW,0018d00000Gp016AAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Waters1946,Closed Lost,17000,Jenny Martin,Johnny Green,Lawrence93 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKjOAAW,0018d00000Gp018AAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Rhodes1746,Perception Analysis,918500,Jenny Martin,Eric Gutierrez,Dean95 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKpDAAW,0018d00000Gp01AAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Clayton375,Closed Won,657600,Jenny Martin,John Williams,Perkins198 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKdHAAW,0018d00000GozsjAAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Ball1294,Closed Won,27800,Jenny Martin,Irene McCoy,Stokes200 Inc,Partner,Nicolas Weaver,Jenny Martin,0068d000009XKmwAAG,0018d00000GozslAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Bowen1968,Qualification,125340,Jenny Martin,Johnny Green,Reeves202 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKkIAAW,0018d00000GozsnAAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Dixon1438,Closed Won,209955,Jenny Martin,Chris Riley,Reeves202 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKrLAAW,0018d00000GozsnAAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Flores1296,Closed Won,2325850,Jenny Martin,Irene Kelley,Reeves202 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKmyAAG,0018d00000GozsnAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Santos218,Closed Won,435960,Jenny Martin,Doroth Gardner,Stone207 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKetAAG,0018d00000GozssAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Chandler1439,Needs Analysis,1648300,Jenny Martin,Johnny Green,Thomas208 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKrMAAW,0018d00000GozstAAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Luna1760,Closed Won,89400,Jenny Martin,Irene McCoy,Gonzales209 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKpyAAG,0018d00000GozsuAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Norman1589,Closed Won,1390500,Jenny Martin,Evelyn Williamson,Romero210 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKkzAAG,0018d00000GozsvAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Bridges657,Qualification,1314400,Jenny Martin,Laura Garza,Simmons211 Inc,Customer,Catherine Brown,Jenny Martin,0068d000009XKqLAAW,0018d00000GozswAAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Bowen59,Perception Analysis,278337,Jenny Martin,Kelly Frazier,Cannon212 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKeUAAW,0018d00000GozsxAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Fernandez851,Closed Won,352350,Jenny Martin,Kelly Frazier,Vega214 Inc,Customer,John Williams,Jenny Martin,0068d000009XKlPAAW,0018d00000GozszAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Watson1794,Qualification,991350,Jenny Martin,Bruce Kennedy,Pittman435 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKqqAAG,0018d00000Gozt0AAB,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Silva482,Closed Won,115290,Jenny Martin,Julie Chavez,Foster410 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKkWAAW,0018d00000Gozt1AAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Stone1959,Closed Won,1052275,Jenny Martin,Irene McCoy,Payne411 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKkDAAW,0018d00000Gozt2AAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Holmes1012,Qualification,1348890,Jenny Martin,Eric Gutierrez,Rodriquez412 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKpYAAW,0018d00000Gozt3AAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Clark1301,Closed Won,116360,Jenny Martin,Nicolas Weaver,Stone414 Inc,Partner,Harold Campbell,Jenny Martin,0068d000009XKn0AAG,0018d00000Gozt5AAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Simpson1472,Closed Won,283466,Jenny Martin,Dennis Howard,Mann440 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKgkAAG,0018d00000GozuwAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Newton773,Closed Won,887240,Jenny Martin,Chris Riley,Mann440 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKhyAAG,0018d00000GozuwAAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Nash605,Closed Won,1840600,Jenny Martin,Bruce Kennedy,Mann440 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKoeAAG,0018d00000GozuwAAB,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Jordan57,Closed Won,1455310,Jenny Martin,Laura Palmer,Mann440 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKeSAAW,0018d00000GozuwAAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Berry1447,Closed Won,470298,Jenny Martin,Dennis Howard,Owens441 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKrPAAW,0018d00000GozuxAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for McLaughlin130,Negotiation/Review,1249000,Jenny Martin,Eric Gutierrez,Owens441 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKcfAAG,0018d00000GozuxAAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Alexander278,Closed Won,18960,Jenny Martin,Chris Riley,Oliver444 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKd2AAG,0018d00000Gozv0AAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Gordon872,Closed Won,339815,Jenny Martin,Harold Campbell,Myers448 Inc,Customer,John Williams,Jenny Martin,0068d000009XKlWAAW,0018d00000Gozv4AAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Love1426,Closed Lost,2649820,Jenny Martin,Doroth Gardner,Robbins449 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKrGAAW,0018d00000Gozv5AAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Higgins1229,Closed Won,720875,Jenny Martin,Eric Sanchez,Robbins449 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKksAAG,0018d00000Gozv5AAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Duncan873,Closed Won,2400250,Jenny Martin,Eric Sanchez,Cox450 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKm0AAG,0018d00000Gozv6AAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Hall1246,Value Proposition,937550,Jenny Martin,Kelly Frazier,Cox450 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKlaAAG,0018d00000Gozv6AAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for McCoy227,Closed Won,917500,Jenny Martin,Johnny Green,Cox450 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKevAAG,0018d00000Gozv6AAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Lee231,Closed Lost,5423800,Jenny Martin,Johnny Green,Collins451 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKewAAG,0018d00000Gozv7AAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Welch436,Closed Won,520500,Jenny Martin,Chris Riley,Lambert452 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKijAAG,0018d00000Gozv8AAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Hunt578,Closed Won,1012640,Jenny Martin,Catherine Brown,Lambert452 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKnuAAG,0018d00000Gozv8AAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Padilla247,Closed Lost,1214160,Jenny Martin,Irene Kelley,Lambert452 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKfMAAW,0018d00000Gozv8AAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Ortiz1039,Closed Won,128265,Jenny Martin,Julie Chavez,Paul453 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKqVAAW,0018d00000Gozv9AAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Peters89,Closed Won,492390,Jenny Martin,Chris Riley,Bush454 Inc,Partner,Julie Chavez,Jenny Martin,0068d000009XKeiAAG,0018d00000GozvAAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Campbell329,Closed Won,3173450,Jenny Martin,Laura Palmer,Bush454 Inc,Partner,Julie Chavez,Jenny Martin,0068d000009XKfQAAW,0018d00000GozvAAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Willis238,Closed Won,2250950,Jenny Martin,Irene Kelley,Bush454 Inc,Partner,Julie Chavez,Jenny Martin,0068d000009XKfIAAW,0018d00000GozvAAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Parks826,Closed Won,411185,Jenny Martin,Chris Riley,Holloway455 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKjmAAG,0018d00000GozvBAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Adams708,Prospecting,1269390,Jenny Martin,Nicolas Weaver,Bryant456 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKgEAAW,0018d00000GozvCAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Marsh1806,Closed Won,58840,Jenny Martin,Eric Gutierrez,Romero457 Inc,Partner,John Williams,Jenny Martin,0068d000009XKrRAAW,0018d00000GozvDAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Webster1954,Closed Won,171660,Jenny Martin,Laura Palmer,Summers458 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKk9AAG,0018d00000GozvEAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Stevenson463,Closed Lost,103690,Jenny Martin,Irene Kelley,Flowers529 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKjaAAG,0018d00000Gp01xAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Ramsey1673,Needs Analysis,3351780,Jenny Martin,Johnny Green,Williamson530 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKnAAAW,0018d00000Gp01yAAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Jackson611,Closed Won,73600,Jenny Martin,Nicolas Weaver,McKenzie531 Inc,Partner,Eric Gutierrez,Jenny Martin,0068d000009XKpFAAW,0018d00000Gp01zAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Miller300,Closed Won,2303500,Jenny Martin,Laura Palmer,Stone533 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKdmAAG,0018d00000Gp021AAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Pena1800,Closed Won,54090,Jenny Martin,Irene Kelley,Carroll694 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKqtAAG,0018d00000Gp023AAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Harvey1369,Closed Won,802240,Jenny Martin,Laura Garza,Hoffman697 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKoyAAG,0018d00000Gp026AAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Paul1228,Closed Won,368530,Jenny Martin,Bruce Kennedy,Morton698 Inc,Customer,John Williams,Jenny Martin,0068d000009XKkrAAG,0018d00000Gp027AAB,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Joseph722,Value Proposition,327145,Jenny Martin,Chris Riley,Warner699 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKgNAAW,0018d00000Gp028AAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Ramos435,Closed Won,2942705,Jenny Martin,Nicolas Weaver,Crawford701 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKiiAAG,0018d00000Gp02AAAR,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Conner1442,Closed Lost,449660,Jenny Martin,Irene McCoy,Black702 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKrNAAW,0018d00000Gp02BAAR,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Lewis1160,Closed Won,1132470,Jenny Martin,Chris Riley,Page703 Inc,Partner,Harold Campbell,Jenny Martin,0068d000009XKiAAAW,0018d00000Gp02CAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for McGee320,Closed Lost,637600,Jenny Martin,Irene Kelley,Alexander704 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKf2AAG,0018d00000Gp02DAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
